path,a1,a2,GT,pred
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0621.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0630.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0655.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0661.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0665.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0721.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0724.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0792.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0833.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0839.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0869.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0012.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0086.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0132.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0404.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0434.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0471.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0477.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0654.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0713.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0732.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0759.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0836.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_0848.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1016.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1064.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1074.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1090.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1255.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1268.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1302.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1311.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1314.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1352.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1358.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1394.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1397.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1441.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1448.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1463.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1516.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1614.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1617.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1620.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1677.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1817.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_1976.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2007.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2042.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2057.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2091.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2098.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2170.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2266.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2332.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AbandonedPorn_2423.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0025.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0039.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0053.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0063.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0118.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0211.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdrenalinePorn_0250.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0060.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0077.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0125.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0152.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0295.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0381.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0389.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0409.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0421.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0444.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0478.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0503.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0537.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0567.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0579.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0586.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0603.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0609.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0634.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0667.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0730.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0781.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0809.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0825.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0922.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_0971.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1021.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1048.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1201.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1204.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1267.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1277.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1295.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1361.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1374.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1455.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1494.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1502.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1505.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1528.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1529.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1636.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1670.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1790.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1867.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1905.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AdviceAnimals_1946.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_Afrodisiac_0047.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_Afrodisiac_0052.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0034.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0050.jpg,0,55.0,NOT,ADT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0223.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0243.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0279.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0324.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0357.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0393.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0411.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0460.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0465.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0497.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0511.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0513.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0555.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0604.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0608.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0617.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0648.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0660.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0666.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0798.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0815.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0872.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0891.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0905.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0909.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0945.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0963.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0969.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_0974.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1022.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1147.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1242.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1258.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1278.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1322.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1325.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1332.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1347.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1411.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AlbumArtPorn_1423.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0022.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0261.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0266.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0287.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0296.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0316.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0323.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0328.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0440.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0454.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0480.jpg,0,16.0,NOT,CHD
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0519.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0544.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0612.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0660.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0693.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0705.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0774.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0782.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0832.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0902.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_alternativeart_0912.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0005.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0010.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0034.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0036.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0055.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0083.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0206.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0273.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0298.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0353.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0356.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0434.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0475.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0520.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0538.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0548.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0550.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0572.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0594.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0603.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0636.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0644.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0660.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0676.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0762.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0805.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0845.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0871.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0884.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0934.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0943.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0971.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0973.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_0988.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1005.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1039.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1059.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1122.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1167.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1280.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1342.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1386.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1416.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1428.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1443.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1473.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_AmateurRoomPorn_1538.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_amateur_0002.jpg,1,,NOT,NOT
